field,focalMm,focalRatio,limitMag,defocusSteps,aberr,arm,iters,starsQueried,stampJobs,distinctKernels,kernelCacheBytes,maxKernelRadiusPx,orientationBins,defocusQuantumUm,totalMsMedian,totalMsMin,totalMsMax,queryMs,jobBuildMs,kernelGenMs,stampMs,developMs,kernelGenMsPerKernel,skyPlusDarkElectronsPerPx,config,processorCount
sparse,1000,7.10,17.0,0,A1,off,5,2242,980,5,117568,9,1,13.35,334.6,332.3,361.9,2.3,5.0,2.4,13.0,303.6,0.47,5.93,Release,48
sparse,1000,7.10,17.0,0,A1,on-zero,5,2242,980,5,117568,9,1,13.35,334.2,333.1,339.1,2.3,5.0,2.5,12.6,304.2,0.49,5.93,Release,48
sparse,1000,7.10,17.0,0,A1,on,5,2242,981,77,2161472,9,14,13.35,339.7,333.4,350.1,2.3,5.1,2.3,13.2,306.8,0.03,5.93,Release,48
sparse,1000,7.10,17.0,0,A1,on-strong,5,2242,981,136,4029440,10,20,13.35,340.0,336.5,355.4,2.3,9.7,7.0,12.7,304.4,0.05,5.93,Release,48
sparse,1000,7.10,17.0,0,A2,off,5,2242,980,8,199168,9,1,13.35,337.5,334.9,351.9,2.5,5.2,2.5,12.6,308.4,0.31,5.93,Release,48
sparse,1000,7.10,17.0,0,A2,on-zero,5,2242,980,8,199168,9,1,13.35,336.4,334.7,349.1,2.5,5.3,2.5,12.7,306.6,0.31,5.93,Release,48
sparse,1000,7.10,17.0,0,A2,on,5,2242,981,150,4327296,10,15,13.35,344.2,339.8,356.9,2.3,11.4,8.4,12.8,307.0,0.06,5.93,Release,48
sparse,1000,7.10,17.0,0,A2,on-strong,5,2242,981,343,10297792,11,31,13.35,354.6,348.5,358.4,2.3,20.6,17.8,12.8,305.2,0.05,5.93,Release,48
sparse,1000,7.10,17.0,150,A0,off,5,2242,985,1,82496,17,1,13.35,343.2,335.1,345.8,2.4,5.3,2.8,13.0,314.0,2.76,5.93,Release,48
sparse,1000,7.10,17.0,150,A0,on-zero,5,2242,985,1,82496,17,1,13.35,335.6,334.9,353.5,2.5,5.5,2.8,13.0,304.9,2.78,5.93,Release,48
sparse,1000,7.10,17.0,150,A0,on,5,2242,985,1,82496,17,1,13.35,336.2,333.9,360.7,2.4,5.4,2.7,12.4,304.6,2.66,5.93,Release,48
sparse,1000,7.10,17.0,150,A0,on-strong,5,2242,985,1,82496,17,1,13.35,355.6,339.2,357.9,2.6,5.7,2.9,13.7,320.4,2.89,5.93,Release,48
sparse,1000,7.10,17.0,150,A1,off,5,2242,985,5,386368,17,1,13.35,353.0,342.8,381.6,2.5,5.8,3.0,12.8,321.8,0.61,5.93,Release,48
sparse,1000,7.10,17.0,150,A1,on-zero,5,2242,985,5,386368,17,1,13.35,337.0,334.0,355.4,2.4,5.8,3.1,12.8,306.1,0.62,5.93,Release,48
sparse,1000,7.10,17.0,150,A1,on,5,2242,985,66,5615232,17,14,13.35,355.9,344.9,374.5,2.4,13.4,10.3,13.3,316.4,0.16,5.93,Release,48
sparse,1000,7.10,17.0,150,A1,on-strong,5,2242,986,215,18595776,17,30,13.35,378.0,369.9,380.0,2.4,38.8,35.9,13.8,306.7,0.17,5.93,Release,48
sparse,1000,7.10,17.0,150,A2,off,5,2242,985,9,673856,17,1,13.35,346.9,335.4,354.2,2.4,5.8,3.1,13.4,315.5,0.34,5.93,Release,48
sparse,1000,7.10,17.0,150,A2,on-zero,5,2242,985,9,673856,17,1,13.35,336.1,334.9,344.2,2.4,6.0,3.3,13.2,304.7,0.36,5.93,Release,48
sparse,1000,7.10,17.0,150,A2,on,5,2242,985,160,13415936,17,15,13.35,364.9,359.1,374.3,2.3,28.2,25.6,13.2,310.8,0.16,5.93,Release,48
sparse,1000,7.10,17.0,150,A2,on-strong,5,2242,986,396,34408704,18,31,13.35,410.4,406.2,427.6,2.4,76.8,74.0,13.3,307.1,0.19,5.93,Release,48
sparse,1000,7.10,17.0,350,A0,off,5,2242,990,1,226880,29,1,13.35,342.6,341.3,354.6,2.3,7.0,4.5,13.9,309.8,4.46,5.93,Release,48
sparse,1000,7.10,17.0,350,A0,on-zero,5,2242,990,1,226880,29,1,13.35,344.3,339.1,365.0,2.3,7.0,4.4,14.1,309.6,4.39,5.93,Release,48
sparse,1000,7.10,17.0,350,A0,on,5,2242,990,1,226880,29,1,13.35,354.5,352.7,356.9,2.3,7.3,4.8,14.6,319.5,4.84,5.93,Release,48
sparse,1000,7.10,17.0,350,A0,on-strong,5,2242,990,1,226880,29,1,13.35,347.8,342.2,353.1,2.4,7.3,4.4,15.7,311.1,4.45,5.93,Release,48
sparse,1000,7.10,17.0,350,A1,off,5,2242,990,5,1119552,29,1,13.35,364.7,337.0,386.8,2.5,8.3,5.6,14.6,327.8,1.12,5.93,Release,48
sparse,1000,7.10,17.0,350,A1,on-zero,5,2242,990,5,1119552,29,1,13.35,341.9,335.5,355.5,2.3,7.4,4.9,13.4,306.0,0.97,5.93,Release,48
sparse,1000,7.10,17.0,350,A1,on,5,2242,990,66,15240320,29,14,13.35,364.3,356.8,369.0,2.4,26.1,23.2,14.3,310.8,0.35,5.93,Release,48
sparse,1000,7.10,17.0,350,A1,on-strong,5,2242,990,220,52976384,30,30,13.35,434.0,423.4,453.7,2.8,93.1,89.7,14.4,313.7,0.41,5.93,Release,48
sparse,1000,7.10,17.0,350,A2,off,5,2242,990,9,1997888,30,1,13.35,358.5,349.0,365.4,2.4,7.6,4.9,15.2,324.7,0.55,5.93,Release,48
sparse,1000,7.10,17.0,350,A2,on-zero,5,2242,990,9,1997888,30,1,13.35,342.2,340.2,349.6,2.3,7.8,5.1,14.1,308.8,0.56,5.93,Release,48
sparse,1000,7.10,17.0,350,A2,on,5,2242,990,160,37592576,30,15,13.35,399.0,393.3,406.4,2.4,61.2,58.6,14.6,308.2,0.37,5.93,Release,48
sparse,1000,7.10,17.0,350,A2,on-strong,5,2242,991,396,94102272,31,31,13.35,502.9,500.8,519.6,2.4,170.0,167.3,14.2,306.5,0.42,5.93,Release,48
